GEOID,year,voteshare,CnP_distance_miles,CnP_distance_log,M1_distance_miles,WHITE,INCOME10K,POPULATION100K,BA,M1_distance_log,proximity
51015,2024,25.785224882979445,42.71520601468454,3.7545549695975593,0.2795436745459567,90.03898961563702,7.7487,0.78247,14.909948406292534,-1.2745967390380404,7.28479398531546
51047,2024,36.97334780933702,27.64836630476719,3.319566641404221,35.99520131638744,68.41103000205365,9.4287,0.54973,16.843468300214155,3.5833856328042906,22.35163369523281
51061,2024,38.57466825336237,39.74222863327344,3.6824143159053646,20.162881743353108,81.01034692635423,12.0301,0.75165,23.920876015542213,3.003843376606408,10.257771366726558
51065,2024,46.35447895431107,46.07908711695711,3.830359205361475,16.2254454043595,76.70364500792392,8.8162,0.28462,21.023798832510103,2.7865807139458427,3.920912883042888
51079,2024,37.01611563382622,13.417175840219825,2.5965356653001863,26.285058798904295,79.94244604316548,8.2772,0.21301,17.57458252548627,3.269000671244534,36.582824159780174
51109,2024,36.47733410894586,44.46517646789822,3.794706331535918,34.56756392667651,77.250589562186,7.2569,0.41037,15.124160750425647,3.542915783607819,5.5348235321017825
51113,2024,31.99431212228937,11.495494144149774,2.441955145038025,32.657521042165534,84.68164525159716,7.1697,0.14128,13.582906903671784,3.4860751827071046,38.504505855850226
51137,2024,37.19153144244168,29.58693976686431,3.3873330398696013,41.33920954822264,77.2307030746076,8.139,0.38574,17.464711712635427,3.721811433321487,20.41306023313569
51139,2024,22.52668231019605,8.965329072879284,2.1933648127837992,22.46374131339356,92.50526315789473,6.0061,0.23741,8.980085124270927,3.111902512169615,41.034670927120715
51157,2024,40.512107979356884,21.666467634403876,3.0757657950808985,39.3347232098157,86.01700634363611,8.5575,0.07414,19.124877089478858,3.6721076710160307,28.333532365596124
51165,2024,30.948313126530948,21.808416671710525,3.0822959811413573,0.09463547044214575,88.11173131615902,7.2921,0.86568,15.768408605084822,-2.3577229213814492,28.191583328289475
51171,2024,28.359310910582447,26.02178210935494,3.2589339607219228,29.339298551262157,86.93479722159982,6.5289,0.45228,12.054958524557453,3.3789278648374346,23.97821789064506
51177,2024,45.12997260412327,48.33684660533888,3.8781941394971136,45.583487696661294,65.17070254941756,9.6322,1.49588,19.22814585407219,3.8195455390266666,1.6631533946611228
51187,2024,30.62807499667568,32.51081379890861,3.4815727662666958,28.74349216857863,83.65609186453872,7.9949,0.41843,13.91870927707105,3.358411382266427,17.489186201091393
51540,2024,83.40127880530403,31.524557614049137,3.450766848891273,13.882757410448695,68.03305496805704,6.7903,0.44983,27.200603475184682,2.6306475960433864,18.475442385950863
51660,2024,61.704841983183535,22.087773679809278,3.095024228279148,5.163289796953397,66.51130272663714,5.6057,0.51082,16.026797217212057,1.6415739338891087,27.912226320190722
51790,2024,55.97994396106769,39.65902082648979,3.680318433590946,3.6674992971842246,80.06598098195225,6.1917,0.25915,18.446322258498178,1.299510039401505,10.340979173510213
51820,2024,46.47862338123115,37.84780151478552,3.633572894042889,13.863705585484981,75.57809869761672,5.8527,0.23182,14.940227649716867,2.629274316288006,12.152198485214477
53009,2024,52.27791134948524,24.75747128422695,3.209127313530873,67.4577206583489,82.81159382934028,6.6693,0.77616,17.275808936825886,4.211501041015668,25.24252871577305
53027,2024,45.40787976609425,46.6115738847586,3.8418488769194368,48.76420746511024,80.89322879170649,6.2258,0.7729,11.223087494273935,3.8869965901666212,3.3884261152414012
53031,2024,70.68993440764434,4.407542371305842,1.483317248699344,43.82433008464496,86.69288265842164,6.9176,0.33714,23.018189222207138,3.7801891445443134,45.592457628694156
53033,2024,73.64922839588077,44.327816360434284,3.791612388812249,5.094180159048542,56.73759774217941,11.6044,22.7138,31.657332704704583,1.628098742843638,5.672183639565716
53035,2024,58.47506247131419,48.144597176844364,3.8742089237831014,0.022156884757444217,76.47452283417877,9.3794,2.77658,21.518398605598378,-3.809607006522999,1.8554028231556359
53041,2024,31.83422294763774,37.749091986912006,3.6309614220789137,30.12757583817585,83.58653559725946,6.7954,0.86154,12.494297965514095,3.405440893157163,12.250908013087994
53045,2024,46.92142058927744,38.65298540146558,3.6546240140029624,31.888851840750764,78.32098912913631,7.8029,0.68389,13.544625782134833,3.4622564766344235,11.347014598534422
53053,2024,53.498445110229966,23.60170076325111,3.1613187756743715,33.367985851797016,65.8878959773013,9.2793,9.28696,18.05128320747618,3.50759693288943,26.39829923674889
53057,2024,52.60191300387156,31.390287213085923,3.446498520639525,0.06841263056156474,76.84173395599929,7.9118,1.31417,16.897601197942492,-2.682197814067881,18.609712786914077
53073,2024,60.416485333797546,31.22033503257417,3.4410696463741695,0.11853846666173108,78.72889962877355,7.8796,2.31919,22.016804001877905,-2.132517757903245,18.77966496742583
54031,2024,20.23085322102636,41.16549834224786,3.717600486646938,27.76078282829409,89.97611688676595,5.3876,0.14251,8.196014148908635,3.323624335107497,8.834501657752142
54071,2024,19.854014598540147,48.86431182979721,3.889047310601428,27.926524354696824,94.87808869252167,5.2553,0.06029,14.300121016538927,3.3295769309209944,1.1356881702027906
56029,2024,19.46485098250015,47.52889485210308,3.861337838769294,96.89979557909075,90.13916104819157,6.9802,0.30735,20.826869051113253,4.573677409287589,2.471105147896921
56039,2024,65.84374529580009,9.79529036980026,2.281901695653409,93.93511527342596,80.45637468961384,12.7677,0.23232,39.61365166502667,4.542604280880121,40.204709630199744
56039,2024,65.84374529580009,46.00436763683414,3.8287363406085886,93.93511527342596,80.45637468961384,12.7677,0.23232,39.61365166502667,4.542604280880121,40.204709630199744
