GEOID,year,candidatevotes,totalvotes,voteshare
 1103,2012,13439,49323,27.246923342051378
 1103,2016,11254,50644,22.221783429428953
 1103,2020,13234,53722,24.634228062990953
 1103,2024,12392,53543,23.144015090674785
 1105,2000,4020,5787,69.46604458268533
 1105,2004,3767,5523,68.20568531595148
 1105,2008,4457,6159,72.36564377333983
 1105,2012,4568,6099,74.89752418429251
 1105,2016,3824,5278,72.4516862447897
 1105,2020,3860,5230,73.80497131931166
 1105,2024,3174,4465,71.08622620380739
 1107,2000,4143,8540,48.512880562060886
 1107,2004,3915,9132,42.8712220762155
 1107,2008,4594,10067,45.63425052150591
 1107,2012,4455,9611,46.353137030485904
 1107,2016,3972,9542,41.62649339761057
 1107,2020,4022,9668,41.60115846090194
 1107,2024,3388,8912,38.016157989228006
 1109,2000,4357,10544,41.32207890743551
 1109,2004,4334,11883,36.47227131195826
 1109,2008,5879,13955,42.128269437477606
 1109,2012,6035,14107,42.78018005245623
 1109,2016,5056,13168,38.39611178614824
 1109,2020,5636,13841,40.719601184885484
 1109,2024,4899,13216,37.06870460048426
 1111,2000,3094,7919,39.07058972092436
 1111,2004,2817,9001,31.29652260859904
 1111,2008,3064,10384,29.50693374422188
 1111,2012,3078,10398,29.60184650894403
 1111,2016,2291,10187,22.48944733483852
 1111,2020,2203,10837,20.32850419857894
 1111,2024,1920,11091,17.311333513659726
 1113,2000,8396,14775,56.82571912013537
 1113,2004,8375,16809,49.824498780415254
 1113,2008,10085,18915,53.31747290510177
 1113,2012,10500,18879,55.61735261401557
 1113,2016,9579,19256,49.745533859576234
 1113,2020,11228,21329,52.64194289465047
 1113,2024,10422,20718,50.30408340573415
 1115,2000,6485,24090,26.919883769198837
 1115,2004,5456,29161,18.709920784609583
 1115,2008,6091,34088,17.86845810842525
 1115,2012,5801,35148,16.504495277113918
 1115,2016,5589,38400,14.5546875
 1115,2020,7744,44441,17.425350464661012
 1115,2024,7640,43526,17.55272710563801
 1117,2000,13183,62128,21.21909605974762
 1117,2004,14850,78906,18.81986160748232
 1117,2008,20625,90643,22.754101254371545
 1117,2012,20051,92507,21.67511647767196
 1117,2016,22977,101254,22.692436842001303
 1117,2020,33268,114950,28.941278816876903
 1117,2024,33087,114698,28.847059233814015
 1119,2000,4415,6088,72.5197109067017
 1119,2004,4527,6433,70.37152184050987
 1119,2008,5264,7020,74.98575498575498
 1119,2012,5421,7027,77.14529671267967
 1119,2016,4746,6411,74.0290126345344
 1119,2020,4648,6291,73.88332538547131
 1119,2024,3725,5307,70.19031467872621
